origin_cbg,destination_cbg,trips
510890107004,371570410021,72
516900001001,371570403003,94
371570401011,371570411003,318
371570407002,371570408001,9749
371690701011,371570403002,70
371570404002,371570412003,1294
371570409002,371570413004,30
371679301023,371570413004,153
370810164062,371570410023,80
371570410015,371570406023,4370
515900012002,371570401013,121
371570405021,371570411006,109
371570406023,371570406022,446
370810151003,371570414002,1082
371570403003,371570412001,950
370810156023,371570416022,349
371570402001,371570403001,8336
370670040124,371570415023,64
370670032013,371570405021,41
371570403001,371570413004,536
370810153012,371570406023,36
371570405013,371570415023,63
371570415011,371570413001,1900
130730304033,371570403001,157
371570403003,371570405021,2122
370810127032,371570415021,68
370670033153,371570410023,148
370570602021,371570414001,91
371570409002,371570407001,556
370339305001,371570412003,437
370810125083,371570410012,633
371570407004,371570406012,79
370559705024,371570408001,56
511610309001,371570410023,204
371570409003,371570405013,87
371570401011,371570415023,498
515900004001,371570413004,67
370810127032,371570415022,15
131150017051,371570413004,833
371570407004,371570406023,4953
371690707021,371570403003,277
371570412003,371570403001,1374
371570405013,371570406023,1133
371570405023,371570409003,30
370810113003,371570416023,93
371570412002,371570405021,128
450510403001,371570412001,5
370670022001,371570408001,217
371570406011,371570415021,152
371570403002,371570405021,505
370810160033,371570410021,357
370810172003,371570408001,127
370810162041,371570403003,701
510890105003,371570411005,30
371570403002,371570413004,129
371190058453,371570416023,38
371570410015,371570415023,245
371570414002,371570412002,187
370810127052,371570412003,178
371570403003,371570410022,30
370810158004,371570408001,896
371570405023,371570412001,41
370850705004,371570410023,91
371690702002,371570407001,105
510890110002,371570409002,89
371510306003,371570408001,26
371570404001,371570415011,407
371570411005,371570402002,754
371690707012,371570416012,34
510890102005,371570410012,279
371570405023,371570412003,674
371570411003,371570415023,1975
371570414002,371570408001,294
371570415011,371570412003,14216
510890110002,371570410023,189
370670016013,371570408001,325
515900008001,371570414001,509
371570410013,371570409001,367
371570410014,371570409003,655
371570415011,371570415022,3464
371570413004,371570416023,558
371570401012,371570403002,878
370810158001,371570410023,244
370810159012,371570414003,131
371570415023,371570402003,269
371570406012,371570403001,1107
371570410023,371570409002,238
450510513011,371570403001,100
371570408001,371570410021,1946
370810158003,371570415022,100
371570407001,371570403002,155
510890106022,371570403002,92
371570415021,371570405013,364
370810160112,371570415021,289
510890110003,371570415021,21
371570413002,371570413002,2299
371570413002,371570416012,184
371690701022,371570406023,5525
371570412002,371570410023,339
370370208032,371570403003,25
370010216001,371570415023,95
371570416012,371570409001,504
370810160112,371570409003,941
371570415022,371570414002,2293
371570414002,371570406023,669
371570415023,371570403002,228
371570406023,371570403002,508
370670033111,371570410023,40
371570409002,371570410021,780
371570413001,371570415021,3766
371570405022,371570410021,326
371570409003,371570406012,157
516900003001,371570416012,70
371570405011,371570414001,189
371570412001,371570413003,71
371570415021,371570409003,262
371570402003,371570404003,170
370810165033,371570415011,87
371570416023,371570411003,46
371570415021,371570413004,1535
371570412001,371570408001,86
