origin_county,trips
Mackinac County,85.0
Taylor County,83.0
Manassas Park city,83.0
La Paz County,82.0
Auglaize County,82.0
Worth County,81.0
Bowie County,79.0
Chaves County,76.0
Mathews County,74.0
Cloud County,74.0
Owen County,74.0
Robertson County,74.0
Mohave County,74.0
Yates County,73.0
San Mateo County,72.0
Love County,71.0
Defiance County,71.0
Parker County,71.0
Candler County,71.0
Dunklin County,70.0
George County,70.0
Strafford County,70.0
Chittenden County,69.0
Long County,69.0
Riley County,68.0
Marin County,67.0
Ogemaw County,65.0
Finney County,65.0
Nye County,64.0
Burt County,63.0
Sac County,62.0
Waupaca County,62.0
Lonoke County,62.0
Evans County,62.0
McLean County,61.0
Starr County,61.0
Aitkin County,61.0
Kitsap County,61.0
Isabella County,60.0
Covington city,60.0
Faribault County,60.0
Spokane County,60.0
Yuma County,59.0
Webster County,59.0
Dunn County,58.0
Vermillion County,58.0
Craighead County,57.0
Venango County,57.0
Independence County,56.0
Charlevoix County,55.0
Black Hawk County,55.0
Sebastian County,55.0
Rutland County,54.0
Knott County,53.0
Canadian County,53.0
Wells County,53.0
Brantley County,53.0
Chelan County,52.0
Catahoula Parish,51.0
Ward County,51.0
Crow Wing County,51.0
Sawyer County,51.0
Massac County,51.0
Santa Cruz County,50.0
Vermilion Parish,50.0
Kootenai County,49.0
Edwards County,49.0
Saline County,48.0
Waldo County,47.0
Copiah County,47.0
Des Moines County,47.0
Gilchrist County,47.0
Ralls County,46.0
Bastrop County,46.0
Yolo County,46.0
Comanche County,45.0
Cooke County,43.0
Gogebic County,43.0
Kay County,42.0
Maverick County,42.0
Colbert County,42.0
Victoria County,42.0
Prentiss County,41.0
Metcalfe County,40.0
Rusk County,40.0
Jefferson Davis Parish,40.0
Gadsden County,40.0
Wilkinson County,40.0
Marinette County,40.0
Ogle County,39.0
Adair County,39.0
Levy County,37.0
Snyder County,37.0
Big Horn County,36.0
Racine County,36.0
Ector County,35.0
Judith Basin County,35.0
Cottle County,34.0
Wasatch County,34.0
Cole County,34.0
Millard County,34.0
Chilton County,33.0
Childress County,33.0
Windham County,33.0
San Luis Obispo County,33.0
Hawaii County,32.0
Noble County,32.0
Bartholomew County,32.0
King and Queen County,31.0
Dearborn County,31.0
Bingham County,31.0
Chippewa County,31.0
Trigg County,30.0
Scotts Bluff County,30.0
Converse County,30.0
Acadia Parish,30.0
Arenac County,30.0
Belknap County,29.0
Jersey County,29.0
Sabine Parish,29.0
Austin County,27.0
Kidder County,27.0
St. James Parish,27.0
Lampasas County,26.0
Mesa County,26.0
McCulloch County,25.0
Teller County,25.0
Miller County,25.0
Menard County,25.0
Kaufman County,24.0
Garland County,24.0
Garrard County,24.0
Rockcastle County,23.0
Brookings County,23.0
Posey County,23.0
Sagadahoc County,22.0
Norton city,22.0
Sauk County,21.0
Brule County,21.0
Beltrami County,20.0
Claiborne Parish,20.0
Keith County,20.0
Rock Island County,19.0
Fresno County,19.0
St. Martin Parish,19.0
Stephenson County,16.0
Natrona County,16.0
Powell County,15.0
Hettinger County,15.0
Barnes County,15.0
Deuel County,14.0
Tucker County,14.0
Cavalier County,14.0
De Soto Parish,13.0
Sunflower County,13.0
Canyon County,12.0
Holt County,12.0
Kleberg County,12.0
Madera County,11.0
Trempealeau County,11.0
Windsor County,11.0
Choctaw County,11.0
Richland Parish,9.0
St. Landry Parish,9.0
Kewaunee County,9.0
Hunt County,9.0
Wirt County,7.0
Panola County,7.0
Humboldt County,7.0
Rolette County,6.0
Geary County,6.0
McCormick County,6.0
Kosciusko County,6.0
Pershing County,6.0
Stevens County,6.0
Saguache County,5.0
Baxter County,4.0
Kiowa County,4.0
Glacier County,4.0
McCurtain County,4.0
Haskell County,3.0
Daniels County,3.0
Bremer County,3.0
Bracken County,3.0
Garrett County,3.0
San Patricio County,3.0
Clare County,3.0
Swift County,3.0
Kingfisher County,3.0
Atascosa County,2.0
McCreary County,2.0
Ray County,2.0
Gunnison County,2.0
Cochise County,2.0
Lafourche Parish,2.0
Dyer County,2.0
Calaveras County,2.0
Calumet County,2.0
Green Lake County,2.0
Alcorn County,1.0
Clarion County,1.0
Prowers County,1.0
Hudspeth County,1.0
Juniata County,1.0
Humphreys County,1.0
Randall County,0.0
St. Mary Parish,0.0
Minidoka County,0.0
Navarro County,0.0
Drew County,0.0
Nacogdoches County,0.0
Andrew County,0.0
Labette County,0.0
Muscatine County,0.0
Ransom County,0.0
St. Charles Parish,0.0
Sharp County,0.0
Palo Alto County,0.0
Chisago County,0.0
Winston County,0.0
Pontotoc County,0.0
Kandiyohi County,0.0
Wadena County,0.0
Roscommon County,0.0
Roseau County,0.0
Vernon County,0.0
Kauai County,0.0
Buffalo County,0.0
Rio Blanco County,0.0
Lubbock County,0.0
Furnas County,0.0
Barber County,0.0
Los Alamos County,0.0
Charles Mix County,0.0
Frio County,0.0
Pipestone County,0.0
Kern County,0.0
Santa Fe County,0.0
Chickasaw County,0.0
Burnet County,0.0
