destination_name,trips
Showmars,36062.0
Enterprise Rent-A-Car ,36019.0
Promenade on Providence,35932.0
"REMAX Holdings, Inc.",35927.0
Cotton Warehouses,35786.0
Meat Markets,35749.0
Wingstop Inc.,35746.0
Granite Town Centre,35583.0
Navy Federal Credit Union,35470.0
Columbus Corners,35343.0
QBE Insurance Group Ltd.,35295.0
"Centerpoint Plaza (Asheboro, NC)",35245.0
Fitness Connection,35161.0
SHELL - SHELL,35143.0
Freddy's Frozen Custard & Steakburgers,35065.0
"Charter Communications, Inc.",34938.0
"The Aaron's Company, Inc.",34898.0
"Walmart (Kernersville, NC)",34777.0
Arlington Village,34417.0
"Big Lots (Greenville, NC)",34417.0
"Walmart (Indian Trail, NC)",34395.0
WALMART - WALMART STORE #7009,34276.0
Genesco Inc.,34235.0
Hercules Tire & Rubber,34116.0
Lendmark Financial Services,33930.0
Pennsylvania Real Estate Investment Trust,33840.0
Gabriel Brothers,33716.0
Sport Clips Haircuts,33697.0
Costco Winston-Salem,33676.0
At Home Group Inc.,33637.0
Healthcare Realty Trust Incorporated,33626.0
Mocksville Town Commons,33535.0
Royal Farms,33474.0
SAMS CLUB - SAMS CLUB #8129,33394.0
"Hallmark Cards, Inc.",33386.0
"Westwood Village Shopping Center (Wilson, NC)",33295.0
Oak Summit Shopping Center,33273.0
Holly Hill Mall,33208.0
"Shops at Rivergate South, The",33186.0
"Sweet Frog Enterprises, LLC.",33184.0
Windsor Square,33110.0
Reeds Jewelers,33038.0
MURPHY EXPRESS - MURPHY EXPRESS #8531,32969.0
Saucony,32920.0
"Concord Commons (Concord, NC)",32674.0
Shoppes at Goldsboro,32587.0
"Southridge Shopping Center (Arden, NC)",32587.0
Smoothie King Franchises Inc.,32569.0
The Wave Car Wash,32497.0
North Carolina Central University,32478.0
The Ritz-Carlton,32434.0
University Of North Carolina At Pembroke,32347.0
Mellow Mushroom Pizza,32319.0
Anytime Fitness,32296.0
"Shops at Westgate, The (Leland, NC)",32107.0
MetroPCS Wireless,32067.0
Finish Line Inc.,32004.0
CoolSculpting,31888.0
Franklin Square III,31726.0
Passenger Car Leasing,31509.0
"Shops at Whitehall Commons, The",31486.0
"Shoppes at Holly Springs (Holly Springs, NC)",31388.0
GNC Holdings Inc.,31354.0
"Bi-Lo Holdings, LLC",31274.0
"Cross Pointe Center (Fayetteville, NC)",31181.0
"Freedom Village (Jacksonville, NC)",31116.0
FASTFUELS - FASTFUELS,31043.0
Good Neighbor Pharmacy,30941.0
Southern Charm Winery,30844.0
Rowan Summit Shopping Center,30669.0
NorthCross Shopping Center,30593.0
"Brinkley Commons (Cameron, NC)",30430.0
Wake Forest University,30397.0
University Place II,30332.0
"Ruby Tuesday, Inc.",30330.0
"Pinecrest Plaza (Southern Pines, NC)",30255.0
Discount Tire Co Inc,30247.0
SAMS CLUB - SAMS CLUB #8228,30223.0
Buick,30193.0
Metropolitan,30092.0
Homewood Suites by Hilton,30071.0
Dunham's Sports,29782.0
"Deli Management, Inc.",29750.0
Public Storage,29662.0
Hotel Indigo,29537.0
Denny's Corporation,29499.0
"The Children's Place, Inc.",29436.0
Office Supplies and Stationery Stores,29205.0
Country Inn & Suites by Radisson,29143.0
DOLLAR GENERAL - DOLLAR GENERAL,29106.0
Orange Julius,29054.0
SAMS CLUB - SAMS CLUB #4917,28764.0
"Gateway Plaza (Jacksonville, NC)",28741.0
"Centrum, The",28730.0
Taylorsville Shopping Center,28654.0
Torrid Holdings Inc.,28580.0
"Life Time, Inc.",28524.0
Nicholas Plaza,28512.0
IndieBound,28501.0
"Main Street Station (Fuquay Varina, NC)",28501.0
Parkway Village Shoppes,28414.0
"Foot Locker, Inc.",28396.0
Comfort Suites,28383.0
Fuji Heavy Industries Ltd.,28358.0
Total Wine & More,28201.0
Sleep Number Corporation,28179.0
Gate Petroleum Co,28143.0
WILMINGTON,28131.0
SUN DO KWIK SHOP,28123.0
Mod Wash,28094.0
Berkeley Mall,28076.0
Johnston & Murphy Group,28057.0
Hollister Co.,27755.0
SAMS CLUB - SAMS CLUB #6976,27750.0
Kia Motors Corp.,27736.0
Deep River Crossing,27619.0
"Allison Transmission Holdings, Inc.",27601.0
"Westside Village Shopping Center (Fayetteville, NC)",27488.0
Locksmiths,27478.0
"Citi Trends, Inc.",27461.0
Wells Fargo Home Mortgage,27394.0
University Of North Carolina At Asheville,27194.0
Pamlico Plaza,27194.0
"Gold's Gym International, Inc.",27187.0
New Bern Marketplace,27118.0
"Bad Daddy's International, LLC",26981.0
River Hills,26943.0
Eastridge Mall Gastonia,26889.0
Highlands Square,26878.0
Shoppes at Tanglewood,26845.0
"Rivertowne Square (New Bern, NC)",26791.0
Inter IKEA Group,26725.0
"Airport Plaza (Fayetteville, NC)",26649.0
Havoline Xpress Lube,26645.0
W.S. Badcock Corporation,26639.0
Concord Mills Shops,26540.0
Port City Java,26515.0
Cheddar's Scratch Kitchen,26478.0
Nordstrom Inc.,26476.0
Shops at Greenville Boulevard,26442.0
Zebulon Crossings,26431.0
"Northwood Shopping Center (Fayetteville, NC)",26279.0
Racetracks,26200.0
MrBeast Burger,26185.0
Rent-A-Center Inc.,26131.0
Take 5 Oil Change,25992.0
"Cross Creek Plaza (Fayetteville, NC)",25963.0
Lexington Parkway Plaza,25930.0
Sunglass Hut,25859.0
High Point Mall,25778.0
"Ashley Furniture Industries, Inc.",25777.0
Plato's Closet,25714.0
AVL,25647.0
"Dave & Buster's Entertainment, Inc.",25626.0
Take 5 Car Wash,25610.0
"Red Roof Inns,Inc., Inc.",25599.0
High Point Marketplace,25538.0
Woodcrest Capital,25529.0
Burlington Outlet Village,25396.0
Firestone Complete Auto Care,25355.0
Sephora,25279.0
True Value Company,25271.0
"Avis Rent a Car System, LLC",25263.0
Romare Bearden Park,25124.0
CONCRETE SUPPLY CO LLC,25123.0
Shops Of Pyramids Village,25113.0
"Harley-Davidson, Inc.",25097.0
Premier Landing Shopping Center,25091.0
Murphy Plaza,25026.0
Jefferson Village Shopping Center,24993.0
BJ'S - BJS WHOLESALE CLUB #118,24972.0
Monroe Crossing,24971.0
Village at Red Bridge,24917.0
Sleep Inn,24822.0
pOpshelf,24749.0
"Pinewood Square (Goldsboro, NC)",24732.0
AMBEST,24571.0
Spencer Gifts LLC,24542.0
Red Lobster Hospitality LLC.,24444.0
ChargePoint Holdings Inc,24441.0
Shoe Carnival Inc.,24397.0
Children's and Infants' Clothing Stores,24326.0
"United Bankshares, Inc.",24322.0
MyEyeDr.,24265.0
"Metropolitan (Charlotte, NC)",24241.0
Guilford College,24154.0
A Sip of the South,24100.0
Sam's Mart,24074.0
North Summit Square,24067.0
Cicis,24018.0
"Omega Healthcare Investors, Inc.",23983.0
Catawba Two Kings Casino,23969.0
Welltower Inc,23937.0
Lawndale Crossing,23915.0
Crescent Commons,23893.0
Hamrick's,23831.0
Albermarle Crossing,23729.0
Grandview Station,23697.0
Blue Ridge Mall,23697.0
AC Hotels by Marriott,23667.0
Tru by Hilton,23631.0
Talbots,23615.0
Regus,23526.0
Cold Stone Creamery,23507.0
Six Forks Station Shopping Center,23479.0
Jack in the Box Inc.,23452.0
Window Treatment Stores,23441.0
"Vitamin Shoppe,  Inc.",23406.0
Sampson Crossing,23392.0
Caliber Car Wash,23385.0
Camden Property Trust,23366.0
Park Road,23348.0
Rocky Mountain Chocolate Factory Inc.,23327.0
"Pacific Sunwear of California, LLC",23285.0
Rea Farms,23174.0
Phillips 66,23120.0
Shoppes at Oxford,23119.0
Western Sizzlin,23111.0
Compare Foods NC,23081.0
Tag Heuer,22994.0
Shoppes at Garner,22956.0
"Tapestry, Inc.",22849.0
Plantation Point Shopping Center,22803.0
Westwood Shopping Center,22771.0
Carolina Mall,22738.0
"Cosmetics, Beauty Supplies, and Perfume Stores",22682.0
"New York & Company, Inc.",22619.0
All Other Traveler Accommodation,22550.0
"The Inland Real Estate Group of Companies, Inc.",22532.0
Rooms To Go Kids,22450.0
Westin Hotels & Resorts,22445.0
"Shoppes at Raeford (Raeford, NC)",22357.0
Boone Mall,22313.0
"Ashford Hospitality Trust, Inc.",22270.0
SAMS CLUB - SAMS CLUB #6348,22139.0
Matthews Corners Shopping Center,22117.0
Justice,22035.0
Laurinburg Shops,21954.0
SUNOCO - SUNOCO,21945.0
"Galleria Shopping Center (Charlotte, NC)",21899.0
Centrum @ Crossroads,21801.0
Landmark Station,21790.0
Fourth Creek Landing,21779.0
PDQ,21759.0
Pitt Community College,21703.0
Park West Village,21659.0
Ann Taylor LOFT,21480.0
Southern Pines Village,21474.0
Holly Springs Towne Center,21474.0
Falls Pointe Shopping Center,21463.0
SHELL - Shell,21445.0
"Lowe's (Shelby, NC)",21441.0
"Ferguson, Plc",21388.0
Pet Supplies Plus LLC,21381.0
Fidelity Bank (North Carolina),21380.0
"Donaldson Company, Inc.",21234.0
Cinnabon,21151.0
Do It Best,21150.0
Meredith College,21093.0
"Workout Anytime Franchasing Systems, LLC",21070.0
"Healthpeak Properties, Inc.",21019.0
The North Face,20941.0
Roxboro Commons,20908.0
Creek Tower,20886.0
Confectionery and Nut Retailers,20852.0
"Franklin Commons (Franklin, NC)",20820.0
Convention and Visitors Bureaus,20811.0
Federal Realty Investment Trust,20755.0
Bryton Town Center,20744.0
Skibo Square,20581.0
Mebane Oaks Village,20559.0
Esurance Auto Repair Shops,20556.0
United States Cellular Corporation,20555.0
ILM,20526.0
Waverly Place,20494.0
Salsarita's Fresh Cantina,20445.0
HCP Inc,20435.0
ACDelco,20421.0
Chatham Crossing,20363.0
"Walmart (Sylva, NC)",20363.0
CresCom Bank,20282.0
TCBY,20224.0
SHEETZ #831,20145.0
LIBERTY - LIBERTY,20137.0
Urban Air,20093.0
BC Wood Properties,20036.0
WW International Inc.,20031.0
BP,19984.0
Famous Toastery,19858.0
Holiday Inn,19856.0
Shake Shack Inc.,19854.0
"Jiffy Lube International, Inc.",19837.0
Hyundai Motor Company,19804.0
Peoples Bank (North Carolina),19730.0
"River Oaks Shopping Center (Tarboro, NC)",19687.0
"Target Lowes (Charlotte, NC)",19687.0
LOWES FOODS FUEL,19687.0
Gardner-Webb University,19666.0
Party City Holdco Inc.,19581.0
Landmark Crossing,19546.0
